title,course,category,provider,duration,rating,language,students_enrolled,price_discounted,price_original,views
Professional Certificate in Marketing and Advertising,https://www.real.discount/offer/professional-certificate-in-marketing-and-advertising-38336,Business > Management,Udemy,3.5hr,0,English,0,0$,84.99$,67
Comprehensive Plumbing Design Course(Calculations+Revit2024),https://www.real.discount/offer/comprehensive-plumbing-design-course-calculations-revit2024-36678,Design > Other Design,Udemy,3hr,4.7,English,324,0$,84.99$,211
SmartPhone 3D Logo and Mockup Design,https://www.real.discount/offer/smartphone-3d-logo-and-mockup-design-36745,Design > Graphic Design & Illustration,Udemy,4hr,0,English,7,0$,49.99$,304
LPI Linux Essentials 010-160 Exam practice,https://www.real.discount/offer/lpi-linux-essentials-010-160-exam-practice-23434,IT & Software > IT Certifications,Udemy,1hr,0,English,6,0$,19.99$,"8,487"
The Basics of Linux Command Line,https://www.real.discount/offer/the-basics-of-linux-command-line-23184,IT & Software > Operating Systems & Servers,Udemy,1hr,5,English,"1,102",0$,19.99$,"6,475"
Терминал Linux. Основы работы в командной строке.,https://www.real.discount/offer/terminal-linux-osnovy-raboty-v-komandnoi-stroke-38314,IT & Software > Operating Systems & Servers,Udemy,5hr,0,Russian,0,0$,19.99$,122
SQL практикум на базе MySQL,https://www.real.discount/offer/sql-praktikum-na-baze-mysql-38321,Development > Database Design & Development,Udemy,4.5hr,0,Russian,0,0$,19.99$,117
Mastering TOEFL iBT: The Ultimate Preparation Course,https://www.real.discount/offer/mastering-toefl-ibt-the-ultimate-preparation-course-38593,Teaching & Academics > Test Prep,Udemy,5hr,0,English,3,0$,44.99$,3
Mastering the Art of Learning,https://www.real.discount/offer/mastering-the-art-of-learning-38594,Personal Development > Personal Productivity,Udemy,1hr,3.5,English,221,0$,39.99$,3
"Email Marketing Automation, Google Analytics & Split Testing",https://www.real.discount/offer/email-marketing-automation-google-analytics-split-testing-35178,Marketing > Marketing Analytics & Automation,Udemy,10hr,5,English,46,0$,34.99$,803
Atelier Concentration Extrême,https://www.real.discount/offer/atelier-concentration-extreme-38496,Personal Development > Stress Management,Udemy,2.5hr,0,French,0,0$,89.99$,180
Chief Executive Officer (CEO) Program,https://www.real.discount/offer/chief-executive-officer-ceo-program-38394,Business > Management,Udemy,1.5hr,0,English,0,0$,19.99$,57
