title,course,category,provider,duration,rating,language,students_enrolled,price_discounted,price_original,views
Mini MBA in Product Development and Management,https://www.real.discount/offer/mini-mba-in-product-development-and-management-38458,Business > Entrepreneurship,Udemy,6hr,0,English,0,0$,84.99$,82
Python & Google Trends: Best for Data Science and Marketing,https://www.real.discount/offer/python-google-trends-best-for-data-science-and-marketing-34800,Development > Data Science,Udemy,1hr,0,English,1,0$,54.99$,"1,946"
30-Day Challenge: Personal Development & Business Strategy,https://www.real.discount/offer/30-day-challenge-personal-development-business-strategy-38280,Personal Development > Other Personal Development,Udemy,14.5hr,4.8,English,126,0$,39.99$,80
Certificate in Neuromarketing - Internationally Accredited,https://www.real.discount/offer/certificate-in-neuromarketing-internationally-accredited-38595,Business > Communication,Udemy,1.5hr,0,English,188,0$,219.99$,3
Javascript For Beginners Complete Course,https://www.real.discount/offer/javascript-for-beginners-complete-course-9711,IT & Software > IT Certifications,Udemy,2hr,0,English,"1,473",0$,84.99$,"33,612"
HTML 5 With Quizzes And Python 3 Complete Course 2023,https://www.real.discount/offer/html-5-with-quizzes-and-python-3-complete-course-2023-33401,IT & Software > IT Certifications,Udemy,7hr,0,English,0,0$,139.99$,"6,968"
"Cryptocurrency Masterclass: Blockchain, NFT, Fast-Track Defi",https://www.real.discount/offer/cryptocurrency-masterclass-blockchain-nft-fast-track-defi-38173,Finance & Accounting > Cryptocurrency & Blockchain,Udemy,3hr,5,English,141,20$,39.99$,86
Professional Diploma: Customer Centricity & Design Thinking,https://www.real.discount/offer/professional-diploma-customer-centricity-design-thinking-38474,Business > Management,Udemy,1hr,0,English,0,0$,19.99$,111
Leadership Mastery | Self-Discipline & Influence Skills,https://www.real.discount/offer/leadership-mastery-self-discipline-influence-skills-38172,Personal Development > Leadership,Udemy,3hr,4.9,English,90,0$,59.99$,74
Blockchain Fundamentals: Cryptocurrencies and Ledgers (DLTs),https://www.real.discount/offer/blockchain-fundamentals-cryptocurrencies-and-ledgers-dlts-38438,Finance & Accounting > Cryptocurrency & Blockchain,Udemy,1hr,4.7,English,52,0$,39.99$,131
Python And Flask Framework Complete Course For Beginners,https://www.real.discount/offer/python-and-flask-framework-complete-course-for-beginners-4402,IT & Software > Other IT & Software,Udemy,12.5hr,4.1,English,"103,207",0$,94.99$,"42,009"
"CSS, Bootstrap ,JavaScript, Web Development Course",https://www.real.discount/offer/css-bootstrap-javascript-web-development-course-17111,Development > Web Development,Udemy,3hr,4.3,English,"2,129",0$,84.99$,"22,945"
Javascript Practicals Crash Course,https://www.real.discount/offer/javascript-practicals-crash-course-9966,Development > Programming Languages,Udemy,3hr,0,English,"4,315",0$,24.99$,"37,589"
CSS And Javascript Crash Course,https://www.real.discount/offer/css-and-javascript-crash-course-13022,IT & Software > IT Certifications,Udemy,1hr,4.2,English,"18,637",0$,29.99$,"29,048"
Java Complete Course Using Visual Studio Code,https://www.real.discount/offer/java-complete-course-using-visual-studio-code-32428,IT & Software > IT Certifications,Udemy,3hr,0,English,0,0$,19.99$,"8,444"
Microsoft Azure Fundamentals Practice Tests,https://www.real.discount/offer/microsoft-azure-fundamentals-practice-tests-33239,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,19.99$,"18,738"
"Leadership, HR Management, HR Analytics & Project Management",https://www.real.discount/offer/leadership-hr-management-hr-analytics-project-management-35175,Business > Management,Udemy,15hr,4.8,English,811,0$,39.99$,835
Build an effective Business Case,https://www.real.discount/offer/build-an-effective-business-case-20260,Business > Business Strategy,Udemy,1hr,4.4,English,246,0$,29.99$,"1,417"
Professional Diploma in Agile Product Management,https://www.real.discount/offer/professional-diploma-in-agile-product-management-36711,Business > Management,Udemy,3hr,0,English,0,0$,19.99$,562
C_CPI_2404 Practice Test SAP Integration Developer,https://www.real.discount/offer/c-cpi-2404-practice-test-sap-integration-developer-38596,IT & Software > IT Certifications,Udemy,1hr,0,English,6,0$,39.99$,3
Ultimate Miro Guide: Enhance Team Productivity & Agility,https://www.real.discount/offer/ultimate-miro-guide-enhance-team-productivity-agility-38451,Business > Project Management,Udemy,3.5hr,0,English,6,0$,84.99$,181
Mastering Microsoft PowerPoint in 2024: Beginner To Expert,https://www.real.discount/offer/mastering-microsoft-powerpoint-in-2024-beginner-to-expert-38597,Office Productivity > Microsoft,Udemy,7.5hr,4.9,English,14,0$,44.99$,3
Android Studio: Complete guide of android app development,https://www.real.discount/offer/android-studio-complete-guide-of-android-app-development-32932,Development > Mobile Development,Udemy,2.5hr,5,Hindi,2,0$,19.99$,"4,866"
Premiere Pro: Video editing Basics to Master- adobe premiere,https://www.real.discount/offer/premiere-pro-video-editing-basics-to-master-adobe-premiere-32333,Photography & Video > Video Design,Udemy,1.5hr,0,Hindi,0,0$,19.99$,"6,017"
Unlock the Power of IT Auditing || Masterclass ||,https://www.real.discount/offer/unlock-the-power-of-it-auditing-masterclass-38604,IT & Software > IT Certifications,Udemy,2.5hr,0,English,0,85$,84.99$,12
JDBC : Java Database Connectivity,https://www.real.discount/offer/jdbc-java-database-connectivity-34671,IT & Software > IT Certifications,Udemy,1.5hr,0,Hindi,0,0$,19.99$,"4,057"
Adobe Photoshop CC Crash Course Learn Photoshop In Two Hour,https://www.real.discount/offer/adobe-photoshop-cc-crash-course-learn-photoshop-in-two-hour-6052,Design > Graphic Design & Illustration,Udemy,3hr,4.7,English,"5,344",0$,79.99$,"9,426"
"Learn Advanced Excel: Formulas, Functions, VBA Macros",https://www.real.discount/offer/learn-advanced-excel-formulas-functions-vba-macros-36695,Office Productivity > Microsoft,Udemy,4hr,0,English,112,0$,84.99$,427
Learn HTML and CSS from Beginning to Advanced,https://www.real.discount/offer/learn-html-and-css-from-beginning-to-advanced-30528,Development > Web Development,Udemy,5hr,0,English,11,0$,19.99$,"5,773"
Professional Diploma in Digital Business Development,https://www.real.discount/offer/professional-diploma-in-digital-business-development-37013,Business > E-Commerce,Udemy,1hr,0,English,0,0$,19.99$,587
Advanced Python Development: Python with Real-World Expert,https://www.real.discount/offer/advanced-python-development-python-with-real-world-expert-38446,IT & Software > Other IT & Software,Udemy,1.5hr,0,English,0,0$,39.99$,125
AWS Certified SysOps Administrator Associate Practice Tests,https://www.real.discount/offer/aws-certified-sysops-administrator-associate-practice-tests-38177,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,39.99$,97
Programmer to Mentor: Diversify Your Income with Mentorship,https://www.real.discount/offer/programmer-to-mentor-diversify-your-income-with-mentorship-38462,Personal Development > Career Development,Udemy,3.5hr,0,English,8,0$,39.99$,99
Professional Diploma of Product & Service Business Analyst,https://www.real.discount/offer/professional-diploma-of-product-service-business-analyst-37154,IT & Software > IT Certifications,Udemy,2hr,0,English,0,0$,84.99$,454
Comprehensive DaVinci Resolve With Color Grading Masterclass,https://www.real.discount/offer/comprehensive-davinci-resolve-with-color-grading-masterclass-38434,Photography & Video > Other Photography & Video,Udemy,3hr,0,English,221,0$,19.99$,92
T-Shirt Design in Adobe Illustrator Beginner Guide to Expert,https://www.real.discount/offer/t-shirt-design-in-adobe-illustrator-beginner-guide-to-expert-34004,Design > Graphic Design & Illustration,Udemy,4.5hr,0,English,17,0$,19.99$,"1,469"
Adobe Premiere Pro CC Video Editing Course For Beginners,https://www.real.discount/offer/adobe-premiere-pro-cc-video-editing-course-for-beginners-25337,Photography & Video > Video Design,Udemy,2.5hr,0,English,1,0$,19.99$,"8,009"
Canva for Beginners: Create Stunning Visuals Design,https://www.real.discount/offer/canva-for-beginners-create-stunning-visuals-design-33612,Design > Graphic Design & Illustration,Udemy,3.5hr,0,English,3,0$,19.99$,"4,841"
Adobe Photoshop CC 2022 For Absolute Beginner to Advanced,https://www.real.discount/offer/adobe-photoshop-cc-2022-for-absolute-beginner-to-advanced-20496,Design > Graphic Design & Illustration,Udemy,3hr,0,English,476,0$,54.99$,"13,803"
Programming Network Applications in Java,https://www.real.discount/offer/programming-network-applications-in-java-4118,IT & Software > Network & Security,Udemy,2hr,4.3,English,"61,820",0$,19.99$,"21,174"
"Public Speaking: Eliminate Verbal Tics, Uh, Um, Er, Ya Know",https://www.real.discount/offer/public-speaking-eliminate-verbal-tics-uh-um-er-ya-know-18404,Personal Development > Stress Management,Udemy,3hr,4.7,English,"24,963",0$,84.99$,"4,356"
Online Course Creation: Complete Course of Blunders to Avoid,https://www.real.discount/offer/online-course-creation-complete-course-of-blunders-to-avoid-10230,Teaching & Academics > Online Education,Udemy,1hr,3.5,English,"21,316",0$,19.99$,"8,682"
The Guide to Freelancing in the Modern Gig Economy,https://www.real.discount/offer/the-guide-to-freelancing-in-the-modern-gig-economy-9777,Business > Entrepreneurship,Udemy,7hr,4.6,English,"33,536",0$,89.99$,"12,287"
How to Enjoy Wine More AND Spend Less Money,https://www.real.discount/offer/how-to-enjoy-wine-more-and-spend-less-money-9497,Lifestyle > Food & Beverage,Udemy,1hr,3.7,English,"1,998",0$,44.99$,"5,452"
Media Training for Authors: Promote Your Book in the News,https://www.real.discount/offer/media-training-for-authors-promote-your-book-in-the-news-13384,Business > Media,Udemy,4hr,4.3,English,"5,858",0$,89.99$,"7,109"
Media Training for Doctors/Healthcare Pros: Master the Media,https://www.real.discount/offer/media-training-for-doctors-healthcare-pros-master-the-media-19030,Health & Fitness > General Health,Udemy,2hr,4.4,English,"15,512",0$,84.99$,"4,111"
Media Training for Financial Service Professionals,https://www.real.discount/offer/media-training-for-financial-service-professionals-10469,Finance & Accounting > Other Finance & Accounting,Udemy,2hr,4.1,English,"8,602",0$,89.99$,"8,940"
"ChatGPT, Canva, Dall-E, Bard, Guide for Busy Entrepreneur",https://www.real.discount/offer/chatgpt-canva-dall-e-bard-guide-for-busy-entrepreneur-33891,Office Productivity > Other Office Productivity,Udemy,3hr,0,English,2,0$,19.99$,"4,491"
"Wealth Management, Private Banking & Compliance Introduction",https://www.real.discount/offer/wealth-management-private-banking-compliance-introduction-37414,Finance & Accounting > Finance,Udemy,1hr,0,English,7,0$,44.99$,346
AWS Certified Developer - Associate Practice Tests,https://www.real.discount/offer/aws-certified-developer-associate-practice-tests-38137,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,22.99$,148
Mastering Ethical Hacking: Expert MCQ Practice Test 2024 : 1,https://www.real.discount/offer/mastering-ethical-hacking-expert-mcq-practice-test-2024-1-38493,IT & Software > Network & Security,Udemy,1hr,0,English,0,0$,19.99$,130
Bird's eye view - business development and sales processes,https://www.real.discount/offer/bird-s-eye-view-business-development-and-sales-processes-28857,Business > Sales,Udemy,2.5hr,0,English,0,0$,19.99$,"10,165"
Managing a business with business analytics and frameworks,https://www.real.discount/offer/managing-a-business-with-business-analytics-and-frameworks-36746,Business > Business Strategy,Udemy,2.5hr,0,English,0,0$,19.99$,598
Excel Mastery: The Ultimate Excel Course for Power Users,https://www.real.discount/offer/excel-mastery-the-ultimate-excel-course-for-power-users-38606,Development > No-Code Development,Udemy,4.5hr,0,English,15,20$,19.99$,9
Machine Learning Mastery: Complete ML RoadMap with Projects,https://www.real.discount/offer/machine-learning-mastery-complete-ml-roadmap-with-projects-38607,Development > Data Science,Udemy,20.5hr,3.9,English,131,20$,19.99$,9
"Professional Diploma in Procurement, Sourcing, Supply Chains",https://www.real.discount/offer/professional-diploma-in-procurement-sourcing-supply-chains-37683,Business > Operations,Udemy,1hr,0,English,2,0$,49.99$,397
"Publish Coloring, Illustration, Cookbooks for Passive Income",https://www.real.discount/offer/publish-coloring-illustration-cookbooks-for-passive-income-36684,Personal Development > Creativity,Udemy,3hr,0,English,1,0$,84.99$,459
Professional Diploma in M&A Business Mergers & Acquisitions,https://www.real.discount/offer/professional-diploma-in-m-a-business-mergers-acquisitions-37684,Business > Management,Udemy,1.5hr,0,English,0,0$,49.99$,355
ServiceNow Implementation Specialist IT Service (ITSM) Exams,https://www.real.discount/offer/servicenow-implementation-specialist-it-service-itsm-exams-38608,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,22.99$,0
Professional Diploma of Virtual Executive Assistant,https://www.real.discount/offer/professional-diploma-of-virtual-executive-assistant-37749,Business > Management,Udemy,1.5hr,0,English,1,0$,49.99$,286
Diploma of Microsoft Dynamics 365 CRM Business Architect,https://www.real.discount/offer/diploma-of-microsoft-dynamics-365-crm-business-architect-37759,IT & Software > IT Certifications,Udemy,1hr,0,English,2,0$,54.99$,253
Kubernetes y Docker | NET | en Azure y Google Cloud Platform,https://www.real.discount/offer/kubernetes-y-docker-net-en-azure-y-google-cloud-platform-26082,Development > Web Development,Udemy,3hr,4.4,Spanish,"1,402",0$,84.99$,"1,073"
Google Professional Cloud Security Engineer REAL EXAM 2024,https://www.real.discount/offer/google-professional-cloud-security-engineer-real-exam-2024-38609,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,24.99$,3
