title,course,category,provider,duration,rating,language,students_enrolled,price_discounted,price_original,views
Sales Excellence,https://www.real.discount/offer/sales-excellence-20218,Business > Sales,Udemy,3hr,5,English,50,0$,19.99$,"14,729"
Excellence in Interpersonal Skills,https://www.real.discount/offer/excellence-in-interpersonal-skills-19975,Personal Development > Personal Brand Building,Udemy,1.5hr,4.7,English,44,0$,19.99$,"16,293"
Excellence in Problem Solving,https://www.real.discount/offer/excellence-in-problem-solving-20259,Personal Development > Career Development,Udemy,2hr,4.6,English,184,0$,19.99$,"16,224"
Learn in 69 mins how to make right career choices & Make One,https://www.real.discount/offer/learn-in-69-mins-how-to-make-right-career-choices-make-one-19887,Personal Development > Career Development,Udemy,1hr,5,English,302,0$,19.99$,"15,659"
Excellence in Oral Communication,https://www.real.discount/offer/excellence-in-oral-communication-20501,Business > Communication,Udemy,1.5hr,4.4,English,381,0$,19.99$,"16,103"
Learn in 67 mins how to do so well in your interviews,https://www.real.discount/offer/learn-in-67-mins-how-to-do-so-well-in-your-interviews-20583,Personal Development > Career Development,Udemy,1hr,4.7,English,350,0$,19.99$,"17,092"
The Skilled Interviewer,https://www.real.discount/offer/the-skilled-interviewer-20641,Personal Development > Career Development,Udemy,1hr,4.3,English,696,0$,19.99$,"15,014"
Learn how to prepare a great Resume (CV) AND Prepare Yours!,https://www.real.discount/offer/learn-how-to-prepare-a-great-resume-cv-and-prepare-yours-20702,Personal Development > Career Development,Udemy,1hr,4.6,English,367,0$,19.99$,"18,787"
Learn in 108 mins how to Find the Right Jobs thru Networking,https://www.real.discount/offer/learn-in-108-mins-how-to-find-the-right-jobs-thru-networking-20715,Personal Development > Career Development,Udemy,2hr,4.9,English,833,0$,19.99$,"16,265"
Master in Artificial Intelligence (AI),https://www.real.discount/offer/master-in-artificial-intelligence-ai-38611,Development > Data Science,Udemy,8hr,0,English,6,0$,54.99$,3
Master in Solution Architecture,https://www.real.discount/offer/master-in-solution-architecture-37670,IT & Software > Other IT & Software,Udemy,7.5hr,0,English,7,0$,54.99$,333
Master in Operations & Supply Chain Management- MOSCM Course,https://www.real.discount/offer/master-in-operations-supply-chain-management-moscm-course-36667,Business > Operations,Udemy,5hr,0,English,0,0$,19.99$,704
